#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Otu192	1	0	0	0	2	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0
Otu84	1	6	7	7	13	3	4	9	11	3	3	33	1	14	28	13	24	15	8	0
Otu113	3	0	2	5	0	3	4	2	2	3	3	10	4	1	5	3	1	5	5	0
Otu103	1	0	0	2	0	3	0	1	1	1	3	0	2	5	5	16	21	12	10	0
Otu124	1	0	2	0	2	0	3	1	0	1	0	5	4	1	0	4	1	5	4	0
Otu171	1	1	0	2	0	3	0	3	4	1	3	0	1	0	2	0	3	0	1	0
Otu206	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu138	2	0	0	2	0	0	1	0	0	1	0	1	1	1	2	3	0	4	6	0
Otu216	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Otu101	1	6	5	7	7	3	4	0	7	9	3	0	1	0	3	3	6	12	13	0
Otu135	4	0	0	0	0	4	8	3	0	1	1	0	1	2	5	6	1	2	9	0
Otu112	1	4	9	5	0	4	3	2	9	5	1	0	0	0	0	3	0	0	1	0
Otu106	1	4	0	9	2	1	3	2	5	7	5	6	7	3	7	3	1	4	9	0
Otu212	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu207	1	0	0	0	0	0	0	0	1	1	1	0	0	0	2	1	0	0	0	0
Otu47	0	34	52	56	27	17	7	26	54	19	19	0	0	0	0	0	0	0	0	0
Otu125	0	2	0	2	2	3	4	2	2	4	0	0	0	0	3	2	0	9	7	0
Otu140	0	7	0	2	2	3	0	1	1	4	0	0	0	0	0	1	0	0	2	0
Otu82	0	11	7	7	5	5	17	6	5	13	15	5	6	4	10	4	1	9	8	0
Otu77	0	14	5	12	17	11	18	3	11	18	23	1	3	0	7	4	4	4	4	0
Otu44	0	19	21	5	33	12	52	40	36	23	53	0	0	0	0	0	0	0	0	1
Otu80	0	7	2	0	0	4	42	9	8	8	18	0	1	0	60	22	8	53	64	0
Otu146	0	4	0	0	2	2	3	1	1	1	1	5	1	2	2	1	0	1	2	0
Otu88	0	11	7	19	3	4	8	4	5	15	15	3	4	12	8	9	6	4	6	0
Otu154	0	1	9	2	2	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0
Otu94	0	4	17	5	15	16	13	5	6	3	8	0	0	0	0	0	3	14	5	0
Otu152	0	5	0	2	3	2	1	1	1	2	3	0	0	0	0	0	0	0	0	0
Otu220	0	4	0	0	3	1	3	0	1	1	1	5	3	1	11	4	1	4	5	0
Otu51	0	1	0	7	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	348
Otu72	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206
Otu203	0	1	5	0	0	0	1	0	1	1	3	0	1	1	0	2	0	0	1	0
Otu162	0	2	2	2	0	0	1	0	0	1	0	0	0	2	0	1	1	0	4	0
Otu173	0	1	0	2	2	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0
Otu127	0	2	0	5	0	1	3	4	1	2	3	3	2	2	2	2	3	5	5	0
Otu199	0	2	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Otu118	0	4	5	0	2	3	3	2	5	3	5	2	1	0	2	1	0	4	1	0
Otu86	0	1	5	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	136
Otu159	0	2	2	2	0	1	1	0	1	3	3	0	0	0	0	0	0	0	0	1
Otu145	0	1	0	2	2	0	3	1	1	1	1	1	1	1	0	2	0	1	3	0
Otu52	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	310
Otu21	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	702
Otu134	0	2	5	7	0	2	7	5	4	3	3	0	0	0	0	0	0	5	2	0
Otu139	0	2	5	7	5	4	3	1	4	2	3	0	0	0	0	0	0	0	0	0
Otu126	0	1	2	0	2	3	0	5	1	3	3	0	0	11	7	1	0	0	1	0
Otu158	0	2	0	0	0	2	0	0	0	1	1	0	1	0	5	1	0	0	0	0
Otu214	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431
Otu179	0	1	0	0	2	3	0	0	1	3	1	0	0	0	0	0	0	0	2	0
Otu111	0	0	7	21	5	17	1	6	6	2	4	0	0	0	0	0	0	0	0	0
Otu205	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0
Otu141	0	0	2	0	0	0	4	0	0	0	0	3	1	1	2	3	1	4	5	0
Otu164	0	0	5	5	2	2	0	5	4	2	0	0	0	0	0	0	0	0	0	0
Otu170	0	0	2	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0
Otu102	0	0	2	0	2	1	14	7	3	21	30	0	0	0	0	0	0	0	0	0
Otu155	0	0	2	0	3	0	7	0	1	2	1	0	0	0	0	0	0	0	0	0
Otu218	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu75	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	179
Otu79	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	167
Otu46	0	0	2	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	343
Otu217	0	0	2	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Otu202	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu169	0	0	0	5	2	2	0	1	0	0	0	0	0	0	0	2	3	1	1	0
Otu168	0	0	0	5	2	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Otu56	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	263
Otu178	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	4	2	0
Otu183	0	0	0	0	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
Otu187	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0
Otu66	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294
Otu204	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
Otu31	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	471
Otu215	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu200	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0
Otu185	0	0	0	0	0	0	0	1	0	2	4	1	1	0	0	0	0	0	0	0
Otu195	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0
Otu211	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu219	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Otu221	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Otu213	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Otu198	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
Otu196	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0
Otu166	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	0	1	1	0	0
Otu175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0
Otu67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217
Otu100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93
Otu37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394
Otu149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
Otu115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
